% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
1.5,15,0,300.3307597
2.232667668,15,0,300.2854567
2.240318275,15,0.3,300.2459442
3,15,0,300.1989257
3,15,0.3,300.1003751
0.640040672,15.47575711,-2,311.5390465
0,15.75,-1.7,311.5275751
0,15.75,-2,311.5662568
0,16.5,-2,311.5746507
0.3,16.35,-1.7,311.5021951
0,16.5,-1.7,311.5415204
0.702621561,16.5,-1.7,311.513042
0.3,15.75,-1.7,311.4845262
0.3,15.15,-1.7,311.4862244
0.943104069,16.5,-2,311.559058
2.353100729,15.74868805,-2,311.5387103
1.017393052,15.15,-1.7,311.4772064
1.466768342,15.66979331,-2,311.5377027
0.858576759,15.94216837,-1.7,311.4818423
1.017393052,16.35,-1.7,311.4889816
1.5,16.5,-1.7,311.5109414
2.297378439,16.5,-1.7,311.5066438
2.056895931,16.5,-2,311.5576249
3,16.5,-2,311.5759803
2.7,15.15,-1.7,311.4801824
3,15.75,-1.7,311.5323976
3,15.75,-2,311.5746838
1.982606948,15.15,-1.7,311.4727276
2.7,15.75,-1.7,311.4860414
2.210481846,15.74898332,-1.7,311.4763698
1.458087574,15.8198027,-1.7,311.4818886
2.7,16.35,-1.7,311.499296
3,16.5,-1.7,311.5406983
1.982606948,16.35,-1.7,311.4905139
0.8,15.15,0,300.3963051
0.3,15.15,0,300.3841859
1.3,15.15,0,300.3777207
0.3,15.75,0,300.4115957
0.816172119,15.79722952,0.3,300.3601888
0.90918075,15.60728537,0,300.4066898
0.8,16.35,0,300.4145937
0.3,16.35,0,300.4045592
1.3,15.75,0,300.40182
1.3,16.35,0,300.3957725
0.767332332,16.5,0,300.4141543
0.759681725,16.5,0.3,300.3686291
0,16.5,0,300.3947755
0,15.75,0,300.365035
0,15.75,0.3,300.3410816
0,16.5,0.3,300.3511191
1.7,15.15,0,300.3275981
2.2,15.15,0,300.3151216
1.301607211,15.53820286,0.3,300.3366015
1.7,15.75,0,300.3475753
1.856477493,15.58465504,0.3,300.2893558
2.30918075,15.60728537,0,300.3213957
1.7,16.35,0,300.3458797
2.2,16.35,0,300.3342055
2.7,15.15,0,300.275862
2.430941923,15.50462794,0.3,300.2562901
2.7,15.75,0,300.3025769
1.5,16.5,0,300.3680809
1.5,16.5,0.3,300.3308594
2.232667668,16.5,0,300.3241498
